,,train_throughput,train_throughput,vram_mb,fwd_ms,bwd_ms
,,mean,std,mean,mean,mean
wt_levels,implementation,,,,,
1,cuda,917.1,0.7,3839.7,13.3,43.0
1,cuda_opt,1020.1,0.6,3613.6,9.9,39.3
1,cuda_opt2,1403.6,0.7,3613.6,10.0,22.1
1,reference,892.6,2.8,2808.4,24.8,46.6
2,cuda,741.5,0.2,4197.0,16.1,56.7
2,cuda_opt,847.0,0.5,3974.3,11.5,50.5
2,cuda_opt2,1179.6,0.4,3974.3,11.5,29.3
2,reference,689.7,4.3,3079.8,34.0,58.4
3,cuda,647.2,0.3,4538.5,18.5,66.9
3,cuda_opt,747.5,0.5,4385.0,13.2,58.9
3,cuda_opt2,1016.7,0.3,4385.0,12.9,36.5
3,reference,617.9,1.8,3155.4,39.0,64.1
4,cuda,527.4,0.6,4835.0,23.3,84.5
4,cuda_opt,616.3,0.4,4835.1,16.2,74.1
4,cuda_opt2,826.9,0.2,4835.1,15.9,47.9
4,reference,570.2,1.7,3185.5,43.4,68.3
