,,inf_latency,inf_latency,inf_throughput,inf_throughput,accuracy,accuracy
,,mean,std,mean,std,mean,std
wt_levels,implementation,,,,,,
1,cuda,6.71,0.04,9537.4,63.68,70.11,6.36
1,cuda_opt,5.09,0.03,12560.61,78.46,73.64,5.73
1,cuda_opt2,5.84,1.1,11208.89,1913.73,74.62,2.19
1,reference,29.56,0.87,2166.69,63.98,72.32,1.5
2,cuda,7.85,0.01,8151.12,11.47,69.79,3.5
2,cuda_opt,5.92,0.01,10812.63,21.95,71.51,1.85
2,cuda_opt2,6.05,0.03,10583.05,43.35,72.12,2.03
2,reference,56.07,1.81,1142.25,36.32,70.26,2.33
3,cuda,9.1,0.02,7035.8,11.66,68.99,1.17
3,cuda_opt,6.8,0.07,9417.55,102.1,70.78,1.38
3,cuda_opt2,6.88,0.05,9306.2,62.58,69.6,2.15
3,reference,84.85,2.09,754.59,18.47,74.6,1.21
4,cuda,12.18,0.03,5256.17,12.12,66.74,1.23
4,cuda_opt,8.98,0.01,7126.94,8.45,67.52,1.92
4,cuda_opt2,9.14,0.04,6997.01,26.81,67.68,0.71
4,reference,107.19,3.18,597.4,17.42,71.6,2.34
