,,train_throughput,train_throughput,vram_mb,fwd_ms,bwd_ms
,,mean,std,mean,mean,mean
wt_levels,implementation,,,,,
1,cuda,1347.6,4.0,3893.2,6.6,27.9
1,cuda_opt,1464.3,3.8,3668.7,5.2,25.5
1,cuda_opt2,2061.1,4.1,3668.5,5.2,12.8
1,reference,1221.8,10.7,2808.4,26.8,25.4
2,cuda,1115.7,1.0,4197.0,7.6,36.7
2,cuda_opt,1233.0,1.3,3972.8,6.0,32.9
2,cuda_opt2,1741.9,2.3,3972.8,6.1,17.6
2,reference,800.7,22.2,3079.8,48.0,31.7
3,cuda,986.6,0.9,4537.5,8.8,43.1
3,cuda_opt,1099.0,1.1,4384.0,6.6,38.6
3,cuda_opt2,1518.0,1.3,4386.5,6.8,22.4
3,reference,618.8,25.7,3155.4,68.3,34.9
4,cuda,794.7,0.4,4833.1,11.6,55.9
4,cuda_opt,880.8,0.2,4833.2,8.7,50.9
4,cuda_opt2,1231.7,0.5,4833.3,8.8,30.1
4,reference,509.1,36.5,3185.5,87.9,38.0
